"week","country","cases","cumulative"
"2021-39","Austria",0,0
"2021-40","Austria",0,0
"2021-41","Austria",0,0
"2021-42","Austria",0,0
"2021-43","Austria",0,0
"2021-44","Austria",0,0
"2021-45","Austria",0,0
"2021-46","Austria",0,0
"2021-47","Austria",0,0
"2021-48","Austria",0,0
"2021-49","Austria",0,0
"2021-50","Austria",0,0
"2021-51","Austria",0,0
"2021-52","Austria",0,0
"2022-01","Austria",0,0
"2022-02","Austria",0,0
"2022-03","Austria",0,0
"2022-04","Austria",0,0
"2022-05","Austria",0,0
"2022-06","Austria",1,1
"2022-07","Austria",0,1
"2022-08","Austria",0,1
"2022-09","Austria",0,1
"2022-10","Austria",0,1
"2022-11","Austria",0,1
"2022-12","Austria",0,1
"2022-13","Austria",0,1
"2022-14","Austria",0,1
"2022-15","Austria",1,2
"2022-16","Austria",0,2
"2022-17","Austria",0,2
"2022-18","Austria",0,2
"2022-19","Austria",0,2
"2022-20","Austria",0,2
"2022-21","Austria",1,3
"2022-22","Austria",0,3
"2022-23","Austria",0,3
"2022-24","Austria",0,3
"2022-25","Austria",0,3
"2021-39","Belgium",1,1
"2021-40","Belgium",0,1
"2021-41","Belgium",0,1
"2021-42","Belgium",1,2
"2021-43","Belgium",1,3
"2021-44","Belgium",0,3
"2021-45","Belgium",0,3
"2021-46","Belgium",0,3
"2021-47","Belgium",0,3
"2021-48","Belgium",0,3
"2021-49","Belgium",0,3
"2021-50","Belgium",0,3
"2021-51","Belgium",0,3
"2021-52","Belgium",0,3
"2022-01","Belgium",0,3
"2022-02","Belgium",2,5
"2022-03","Belgium",0,5
"2022-04","Belgium",1,6
"2022-05","Belgium",0,6
"2022-06","Belgium",0,6
"2022-07","Belgium",1,7
"2022-08","Belgium",0,7
"2022-09","Belgium",2,9
"2022-10","Belgium",1,10
"2022-11","Belgium",0,10
"2022-12","Belgium",0,10
"2022-13","Belgium",1,11
"2022-14","Belgium",0,11
"2022-15","Belgium",0,11
"2022-16","Belgium",1,12
"2022-17","Belgium",1,13
"2022-18","Belgium",1,14
"2022-19","Belgium",0,14
"2022-20","Belgium",0,14
"2022-21","Belgium",0,14
"2022-22","Belgium",0,14
"2022-23","Belgium",0,14
"2022-24","Belgium",0,14
"2022-25","Belgium",0,14
"2021-39","Bulgaria",0,0
"2021-40","Bulgaria",0,0
"2021-41","Bulgaria",0,0
"2021-42","Bulgaria",0,0
"2021-43","Bulgaria",0,0
"2021-44","Bulgaria",0,0
"2021-45","Bulgaria",0,0
"2021-46","Bulgaria",0,0
"2021-47","Bulgaria",0,0
"2021-48","Bulgaria",0,0
"2021-49","Bulgaria",0,0
"2021-50","Bulgaria",0,0
"2021-51","Bulgaria",0,0
"2021-52","Bulgaria",0,0
"2022-01","Bulgaria",0,0
"2022-02","Bulgaria",0,0
"2022-03","Bulgaria",0,0
"2022-04","Bulgaria",0,0
"2022-05","Bulgaria",0,0
"2022-06","Bulgaria",0,0
"2022-07","Bulgaria",0,0
"2022-08","Bulgaria",0,0
"2022-09","Bulgaria",1,1
"2022-10","Bulgaria",0,1
"2022-11","Bulgaria",0,1
"2022-12","Bulgaria",0,1
"2022-13","Bulgaria",0,1
"2022-14","Bulgaria",0,1
"2022-15","Bulgaria",0,1
"2022-16","Bulgaria",0,1
"2022-17","Bulgaria",0,1
"2022-18","Bulgaria",0,1
"2022-19","Bulgaria",0,1
"2022-20","Bulgaria",0,1
"2022-21","Bulgaria",0,1
"2022-22","Bulgaria",0,1
"2022-23","Bulgaria",0,1
"2022-24","Bulgaria",0,1
"2022-25","Bulgaria",0,1
"2021-39","Cyprus",0,0
"2021-40","Cyprus",0,0
"2021-41","Cyprus",0,0
"2021-42","Cyprus",0,0
"2021-43","Cyprus",0,0
"2021-44","Cyprus",0,0
"2021-45","Cyprus",1,1
"2021-46","Cyprus",0,1
"2021-47","Cyprus",0,1
"2021-48","Cyprus",0,1
"2021-49","Cyprus",0,1
"2021-50","Cyprus",0,1
"2021-51","Cyprus",0,1
"2021-52","Cyprus",0,1
"2022-01","Cyprus",0,1
"2022-02","Cyprus",0,1
"2022-03","Cyprus",0,1
"2022-04","Cyprus",0,1
"2022-05","Cyprus",0,1
"2022-06","Cyprus",0,1
"2022-07","Cyprus",0,1
"2022-08","Cyprus",0,1
"2022-09","Cyprus",0,1
"2022-10","Cyprus",1,2
"2022-11","Cyprus",0,2
"2022-12","Cyprus",0,2
"2022-13","Cyprus",0,2
"2022-14","Cyprus",0,2
"2022-15","Cyprus",0,2
"2022-16","Cyprus",0,2
"2022-17","Cyprus",0,2
"2022-18","Cyprus",0,2
"2022-19","Cyprus",0,2
"2022-20","Cyprus",0,2
"2022-21","Cyprus",0,2
"2022-22","Cyprus",0,2
"2022-23","Cyprus",0,2
"2022-24","Cyprus",0,2
"2022-25","Cyprus",0,2
"2021-39","Denmark",0,0
"2021-40","Denmark",0,0
"2021-41","Denmark",0,0
"2021-42","Denmark",0,0
"2021-43","Denmark",0,0
"2021-44","Denmark",0,0
"2021-45","Denmark",0,0
"2021-46","Denmark",0,0
"2021-47","Denmark",0,0
"2021-48","Denmark",0,0
"2021-49","Denmark",0,0
"2021-50","Denmark",0,0
"2021-51","Denmark",0,0
"2021-52","Denmark",0,0
"2022-01","Denmark",1,1
"2022-02","Denmark",0,1
"2022-03","Denmark",0,1
"2022-04","Denmark",0,1
"2022-05","Denmark",1,2
"2022-06","Denmark",0,2
"2022-07","Denmark",0,2
"2022-08","Denmark",0,2
"2022-09","Denmark",0,2
"2022-10","Denmark",1,3
"2022-11","Denmark",0,3
"2022-12","Denmark",2,5
"2022-13","Denmark",0,5
"2022-14","Denmark",1,6
"2022-15","Denmark",0,6
"2022-16","Denmark",1,7
"2022-17","Denmark",0,7
"2022-18","Denmark",0,7
"2022-19","Denmark",0,7
"2022-20","Denmark",0,7
"2022-21","Denmark",0,7
"2022-22","Denmark",0,7
"2022-23","Denmark",0,7
"2022-24","Denmark",0,7
"2022-25","Denmark",0,7
"2021-39","France",0,0
"2021-40","France",0,0
"2021-41","France",0,0
"2021-42","France",0,0
"2021-43","France",0,0
"2021-44","France",0,0
"2021-45","France",0,0
"2021-46","France",0,0
"2021-47","France",0,0
"2021-48","France",0,0
"2021-49","France",0,0
"2021-50","France",0,0
"2021-51","France",0,0
"2021-52","France",1,1
"2022-01","France",0,1
"2022-02","France",0,1
"2022-03","France",0,1
"2022-04","France",0,1
"2022-05","France",0,1
"2022-06","France",0,1
"2022-07","France",0,1
"2022-08","France",0,1
"2022-09","France",1,2
"2022-10","France",1,3
"2022-11","France",0,3
"2022-12","France",0,3
"2022-13","France",0,3
"2022-14","France",0,3
"2022-15","France",0,3
"2022-16","France",0,3
"2022-17","France",0,3
"2022-18","France",2,5
"2022-19","France",1,6
"2022-20","France",1,7
"2022-21","France",0,7
"2022-22","France",0,7
"2022-23","France",0,7
"2022-24","France",0,7
"2022-25","France",0,7
"2021-39","Greece",0,0
"2021-40","Greece",0,0
"2021-41","Greece",0,0
"2021-42","Greece",0,0
"2021-43","Greece",0,0
"2021-44","Greece",0,0
"2021-45","Greece",0,0
"2021-46","Greece",0,0
"2021-47","Greece",0,0
"2021-48","Greece",0,0
"2021-49","Greece",0,0
"2021-50","Greece",0,0
"2021-51","Greece",0,0
"2021-52","Greece",0,0
"2022-01","Greece",0,0
"2022-02","Greece",0,0
"2022-03","Greece",0,0
"2022-04","Greece",0,0
"2022-05","Greece",0,0
"2022-06","Greece",0,0
"2022-07","Greece",1,1
"2022-08","Greece",0,1
"2022-09","Greece",0,1
"2022-10","Greece",0,1
"2022-11","Greece",0,1
"2022-12","Greece",0,1
"2022-13","Greece",0,1
"2022-14","Greece",2,3
"2022-15","Greece",0,3
"2022-16","Greece",0,3
"2022-17","Greece",1,4
