"week","country","cases","cumulative"
"2022-18","Greece",0,4
"2022-19","Greece",1,5
"2022-20","Greece",1,6
"2022-21","Greece",2,8
"2022-22","Greece",0,8
"2022-23","Greece",2,10
"2022-24","Greece",0,10
"2022-25","Greece",0,10
"2021-39","Ireland",0,0
"2021-40","Ireland",0,0
"2021-41","Ireland",0,0
"2021-42","Ireland",0,0
"2021-43","Ireland",0,0
"2021-44","Ireland",0,0
"2021-45","Ireland",0,0
"2021-46","Ireland",0,0
"2021-47","Ireland",0,0
"2021-48","Ireland",0,0
"2021-49","Ireland",0,0
"2021-50","Ireland",0,0
"2021-51","Ireland",0,0
"2021-52","Ireland",0,0
"2022-01","Ireland",0,0
"2022-02","Ireland",0,0
"2022-03","Ireland",0,0
"2022-04","Ireland",0,0
"2022-05","Ireland",0,0
"2022-06","Ireland",0,0
"2022-07","Ireland",0,0
"2022-08","Ireland",0,0
"2022-09","Ireland",0,0
"2022-10","Ireland",3,3
"2022-11","Ireland",1,4
"2022-12","Ireland",2,6
"2022-13","Ireland",1,7
"2022-14","Ireland",0,7
"2022-15","Ireland",1,8
"2022-16","Ireland",1,9
"2022-17","Ireland",1,10
"2022-18","Ireland",1,11
"2022-19","Ireland",2,13
"2022-20","Ireland",2,15
"2022-21","Ireland",0,15
"2022-22","Ireland",0,15
"2022-23","Ireland",1,16
"2022-24","Ireland",0,16
"2022-25","Ireland",0,16
"2021-39","Israel",0,0
"2021-40","Israel",0,0
"2021-41","Israel",0,0
"2021-42","Israel",0,0
"2021-43","Israel",0,0
"2021-44","Israel",0,0
"2021-45","Israel",0,0
"2021-46","Israel",0,0
"2021-47","Israel",0,0
"2021-48","Israel",0,0
"2021-49","Israel",0,0
"2021-50","Israel",0,0
"2021-51","Israel",0,0
"2021-52","Israel",0,0
"2022-01","Israel",0,0
"2022-02","Israel",0,0
"2022-03","Israel",0,0
"2022-04","Israel",0,0
"2022-05","Israel",0,0
"2022-06","Israel",0,0
"2022-07","Israel",0,0
"2022-08","Israel",0,0
"2022-09","Israel",0,0
"2022-10","Israel",1,1
"2022-11","Israel",1,2
"2022-12","Israel",0,2
"2022-13","Israel",0,2
"2022-14","Israel",0,2
"2022-15","Israel",1,3
"2022-16","Israel",2,5
"2022-17","Israel",0,5
"2022-18","Israel",0,5
"2022-19","Israel",0,5
"2022-20","Israel",0,5
"2022-21","Israel",0,5
"2022-22","Israel",0,5
"2022-23","Israel",0,5
"2022-24","Israel",0,5
"2022-25","Israel",0,5
"2021-39","Italy",0,0
"2021-40","Italy",0,0
"2021-41","Italy",0,0
"2021-42","Italy",0,0
"2021-43","Italy",0,0
"2021-44","Italy",0,0
"2021-45","Italy",0,0
"2021-46","Italy",0,0
"2021-47","Italy",0,0
"2021-48","Italy",1,1
"2021-49","Italy",0,1
"2021-50","Italy",0,1
"2021-51","Italy",1,2
"2021-52","Italy",0,2
"2022-01","Italy",0,2
"2022-02","Italy",0,2
"2022-03","Italy",0,2
"2022-04","Italy",0,2
"2022-05","Italy",1,3
"2022-06","Italy",0,3
"2022-07","Italy",2,5
"2022-08","Italy",0,5
"2022-09","Italy",0,5
"2022-10","Italy",3,8
"2022-11","Italy",2,10
"2022-12","Italy",1,11
"2022-13","Italy",0,11
"2022-14","Italy",2,13
"2022-15","Italy",3,16
"2022-16","Italy",7,23
"2022-17","Italy",1,24
"2022-18","Italy",4,28
"2022-19","Italy",2,30
"2022-20","Italy",1,31
"2022-21","Italy",1,32
"2022-22","Italy",1,33
"2022-23","Italy",1,34
"2022-24","Italy",1,35
"2022-25","Italy",0,35
"2021-39","Latvia",0,0
"2021-40","Latvia",0,0
"2021-41","Latvia",0,0
"2021-42","Latvia",0,0
"2021-43","Latvia",0,0
"2021-44","Latvia",0,0
"2021-45","Latvia",0,0
"2021-46","Latvia",0,0
"2021-47","Latvia",0,0
"2021-48","Latvia",0,0
"2021-49","Latvia",0,0
"2021-50","Latvia",0,0
"2021-51","Latvia",0,0
"2021-52","Latvia",0,0
"2022-01","Latvia",0,0
"2022-02","Latvia",0,0
"2022-03","Latvia",0,0
"2022-04","Latvia",0,0
"2022-05","Latvia",0,0
"2022-06","Latvia",0,0
"2022-07","Latvia",0,0
"2022-08","Latvia",0,0
"2022-09","Latvia",0,0
"2022-10","Latvia",0,0
"2022-11","Latvia",0,0
"2022-12","Latvia",0,0
"2022-13","Latvia",0,0
"2022-14","Latvia",0,0
"2022-15","Latvia",0,0
"2022-16","Latvia",0,0
"2022-17","Latvia",0,0
"2022-18","Latvia",0,0
"2022-19","Latvia",1,1
"2022-20","Latvia",0,1
"2022-21","Latvia",0,1
"2022-22","Latvia",0,1
"2022-23","Latvia",0,1
"2022-24","Latvia",0,1
"2022-25","Latvia",0,1
"2021-39","Luxembourg",0,0
"2021-40","Luxembourg",0,0
"2021-41","Luxembourg",0,0
"2021-42","Luxembourg",0,0
"2021-43","Luxembourg",0,0
"2021-44","Luxembourg",0,0
"2021-45","Luxembourg",0,0
"2021-46","Luxembourg",0,0
"2021-47","Luxembourg",0,0
"2021-48","Luxembourg",0,0
"2021-49","Luxembourg",0,0
"2021-50","Luxembourg",0,0
"2021-51","Luxembourg",0,0
"2021-52","Luxembourg",0,0
"2022-01","Luxembourg",0,0
"2022-02","Luxembourg",0,0
"2022-03","Luxembourg",0,0
"2022-04","Luxembourg",0,0
"2022-05","Luxembourg",0,0
"2022-06","Luxembourg",0,0
"2022-07","Luxembourg",0,0
"2022-08","Luxembourg",0,0
"2022-09","Luxembourg",0,0
"2022-10","Luxembourg",0,0
"2022-11","Luxembourg",0,0
"2022-12","Luxembourg",0,0
"2022-13","Luxembourg",0,0
"2022-14","Luxembourg",0,0
"2022-15","Luxembourg",0,0
"2022-16","Luxembourg",0,0
"2022-17","Luxembourg",0,0
"2022-18","Luxembourg",0,0
"2022-19","Luxembourg",0,0
"2022-20","Luxembourg",0,0
"2022-21","Luxembourg",0,0
"2022-22","Luxembourg",0,0
"2022-23","Luxembourg",0,0
"2022-24","Luxembourg",1,1
"2022-25","Luxembourg",0,1
"2021-39","Netherlands",0,0
"2021-40","Netherlands",0,0
"2021-41","Netherlands",0,0
"2021-42","Netherlands",0,0
"2021-43","Netherlands",0,0
"2021-44","Netherlands",0,0
"2021-45","Netherlands",0,0
"2021-46","Netherlands",0,0
"2021-47","Netherlands",0,0
"2021-48","Netherlands",1,1
"2021-49","Netherlands",0,1
"2021-50","Netherlands",0,1
"2021-51","Netherlands",0,1
"2021-52","Netherlands",1,2
"2022-01","Netherlands",0,2
"2022-02","Netherlands",1,3
"2022-03","Netherlands",0,3
"2022-04","Netherlands",0,3
"2022-05","Netherlands",1,4
"2022-06","Netherlands",0,4
"2022-07","Netherlands",1,5
"2022-08","Netherlands",0,5
"2022-09","Netherlands",0,5
"2022-10","Netherlands",1,6
"2022-11","Netherlands",2,8
"2022-12","Netherlands",0,8
"2022-13","Netherlands",0,8
"2022-14","Netherlands",0,8
"2022-15","Netherlands",1,9
"2022-16","Netherlands",0,9
"2022-17","Netherlands",4,13
"2022-18","Netherlands",0,13
"2022-19","Netherlands",0,13
"2022-20","Netherlands",0,13
"2022-21","Netherlands",0,13
"2022-22","Netherlands",0,13
"2022-23","Netherlands",0,13
"2022-24","Netherlands",1,14
"2022-25","Netherlands",0,14
"2021-39","Norway",0,0
"2021-40","Norway",0,0
"2021-41","Norway",0,0
"2021-42","Norway",0,0
"2021-43","Norway",0,0
"2021-44","Norway",0,0
"2021-45","Norway",0,0
"2021-46","Norway",0,0
"2021-47","Norway",0,0
"2021-48","Norway",1,1
"2021-49","Norway",0,1
"2021-50","Norway",0,1
"2021-51","Norway",0,1
"2021-52","Norway",0,1
"2022-01","Norway",0,1
"2022-02","Norway",0,1
"2022-03","Norway",0,1
"2022-04","Norway",0,1
"2022-05","Norway",0,1
"2022-06","Norway",0,1
"2022-07","Norway",0,1
"2022-08","Norway",0,1
"2022-09","Norway",0,1
"2022-10","Norway",0,1
"2022-11","Norway",0,1
"2022-12","Norway",0,1
"2022-13","Norway",3,4
"2022-14","Norway",1,5
"2022-15","Norway",0,5
"2022-16","Norway",0,5
"2022-17","Norway",0,5
"2022-18","Norway",0,5
"2022-19","Norway",0,5
"2022-20","Norway",0,5
"2022-21","Norway",0,5
"2022-22","Norway",0,5
"2022-23","Norway",0,5
"2022-24","Norway",0,5
"2022-25","Norway",0,5
"2021-39","Poland",0,0
"2021-40","Poland",0,0
"2021-41","Poland",0,0
"2021-42","Poland",0,0
"2021-43","Poland",0,0
"2021-44","Poland",0,0
"2021-45","Poland",0,0
"2021-46","Poland",0,0
"2021-47","Poland",0,0
"2021-48","Poland",0,0
"2021-49","Poland",0,0
"2021-50","Poland",0,0
"2021-51","Poland",0,0
"2021-52","Poland",0,0
"2022-01","Poland",0,0
"2022-02","Poland",0,0
"2022-03","Poland",0,0
"2022-04","Poland",0,0
"2022-05","Poland",0,0
"2022-06","Poland",0,0
"2022-07","Poland",0,0
"2022-08","Poland",0,0
"2022-09","Poland",0,0
"2022-10","Poland",0,0
"2022-11","Poland",0,0
"2022-12","Poland",0,0
"2022-13","Poland",0,0
"2022-14","Poland",0,0
"2022-15","Poland",2,2
"2022-16","Poland",2,4
"2022-17","Poland",0,4
"2022-18","Poland",1,5
"2022-19","Poland",0,5
"2022-20","Poland",3,8
"2022-21","Poland",0,8
"2022-22","Poland",0,8
"2022-23","Poland",1,9
"2022-24","Poland",1,10
"2022-25","Poland",0,10
"2021-39","Portugal",0,0
"2021-40","Portugal",0,0
"2021-41","Portugal",0,0
"2021-42","Portugal",0,0
"2021-43","Portugal",0,0
"2021-44","Portugal",0,0
"2021-45","Portugal",0,0
"2021-46","Portugal",0,0
"2021-47","Portugal",0,0
"2021-48","Portugal",1,1
"2021-49","Portugal",0,1
"2021-50","Portugal",0,1
"2021-51","Portugal",0,1
"2021-52","Portugal",0,1
"2022-01","Portugal",0,1
"2022-02","Portugal",0,1
"2022-03","Portugal",0,1
"2022-04","Portugal",0,1
"2022-05","Portugal",0,1
"2022-06","Portugal",0,1
"2022-07","Portugal",0,1
"2022-08","Portugal",1,2
"2022-09","Portugal",0,2
"2022-10","Portugal",0,2
"2022-11","Portugal",0,2
"2022-12","Portugal",0,2
"2022-13","Portugal",2,4
"2022-14","Portugal",2,6
"2022-15","Portugal",1,7
"2022-16","Portugal",3,10
"2022-17","Portugal",0,10
"2022-18","Portugal",2,12
"2022-19","Portugal",1,13
"2022-20","Portugal",1,14
"2022-21","Portugal",2,16
"2022-22","Portugal",2,18
"2022-23","Portugal",1,19
"2022-24","Portugal",0,19
"2022-25","Portugal",0,19
"2021-39","Republic of Moldova",0,0
"2021-40","Republic of Moldova",0,0
"2021-41","Republic of Moldova",0,0
"2021-42","Republic of Moldova",0,0
"2021-43","Republic of Moldova",0,0
"2021-44","Republic of Moldova",0,0
"2021-45","Republic of Moldova",0,0
"2021-46","Republic of Moldova",0,0
"2021-47","Republic of Moldova",0,0
"2021-48","Republic of Moldova",0,0
"2021-49","Republic of Moldova",0,0
"2021-50","Republic of Moldova",0,0
"2021-51","Republic of Moldova",0,0
"2021-52","Republic of Moldova",0,0
"2022-01","Republic of Moldova",0,0
"2022-02","Republic of Moldova",0,0
"2022-03","Republic of Moldova",0,0
"2022-04","Republic of Moldova",0,0
"2022-05","Republic of Moldova",0,0
"2022-06","Republic of Moldova",0,0
"2022-07","Republic of Moldova",0,0
"2022-08","Republic of Moldova",0,0
"2022-09","Republic of Moldova",0,0
"2022-10","Republic of Moldova",0,0
"2022-11","Republic of Moldova",0,0
"2022-12","Republic of Moldova",0,0
"2022-13","Republic of Moldova",0,0
"2022-14","Republic of Moldova",0,0
"2022-15","Republic of Moldova",0,0
"2022-16","Republic of Moldova",0,0
"2022-17","Republic of Moldova",0,0
"2022-18","Republic of Moldova",1,1
"2022-19","Republic of Moldova",0,1
"2022-20","Republic of Moldova",0,1
"2022-21","Republic of Moldova",0,1
"2022-22","Republic of Moldova",0,1
"2022-23","Republic of Moldova",0,1
"2022-24","Republic of Moldova",0,1
"2022-25","Republic of Moldova",0,1
"2021-39","Serbia",0,0
"2021-40","Serbia",0,0
"2021-41","Serbia",0,0
"2021-42","Serbia",0,0
"2021-43","Serbia",0,0
"2021-44","Serbia",0,0
"2021-45","Serbia",0,0
"2021-46","Serbia",0,0
"2021-47","Serbia",0,0
"2021-48","Serbia",0,0
"2021-49","Serbia",0,0
"2021-50","Serbia",0,0
"2021-51","Serbia",0,0
"2021-52","Serbia",0,0
"2022-01","Serbia",0,0
"2022-02","Serbia",0,0
"2022-03","Serbia",0,0
"2022-04","Serbia",0,0
"2022-05","Serbia",0,0
"2022-06","Serbia",0,0
"2022-07","Serbia",0,0
"2022-08","Serbia",0,0
"2022-09","Serbia",0,0
"2022-10","Serbia",0,0
"2022-11","Serbia",0,0
"2022-12","Serbia",0,0
"2022-13","Serbia",0,0
"2022-14","Serbia",1,1
"2022-15","Serbia",0,1
"2022-16","Serbia",0,1
"2022-17","Serbia",0,1
"2022-18","Serbia",0,1
"2022-19","Serbia",0,1
"2022-20","Serbia",0,1
"2022-21","Serbia",0,1
"2022-22","Serbia",0,1
"2022-23","Serbia",0,1
"2022-24","Serbia",0,1
"2022-25","Serbia",0,1
"2021-39","Spain",0,0
"2021-40","Spain",0,0
"2021-41","Spain",0,0
"2021-42","Spain",0,0
"2021-43","Spain",0,0
"2021-44","Spain",0,0
"2021-45","Spain",0,0
"2021-46","Spain",0,0
"2021-47","Spain",0,0
"2021-48","Spain",0,0
"2021-49","Spain",0,0
"2021-50","Spain",0,0
"2021-51","Spain",0,0
"2021-52","Spain",1,1
"2022-01","Spain",0,1
"2022-02","Spain",0,1
"2022-03","Spain",1,2
"2022-04","Spain",1,3
"2022-05","Spain",1,4
"2022-06","Spain",1,5
"2022-07","Spain",1,6
"2022-08","Spain",2,8
"2022-09","Spain",1,9
"2022-10","Spain",1,10
"2022-11","Spain",3,13
"2022-12","Spain",5,18
"2022-13","Spain",2,20
"2022-14","Spain",0,20
"2022-15","Spain",5,25
"2022-16","Spain",1,26
"2022-17","Spain",7,33
"2022-18","Spain",1,34
"2022-19","Spain",1,35
"2022-20","Spain",2,37
"2022-21","Spain",2,39
"2022-22","Spain",0,39
"2022-23","Spain",0,39
"2022-24","Spain",0,39
"2022-25","Spain",0,39
"2021-39","Sweden",0,0
"2021-40","Sweden",0,0
"2021-41","Sweden",0,0
"2021-42","Sweden",0,0
"2021-43","Sweden",0,0
"2021-44","Sweden",1,1
"2021-45","Sweden",0,1
"2021-46","Sweden",0,1
"2021-47","Sweden",0,1
"2021-48","Sweden",0,1
"2021-49","Sweden",0,1
"2021-50","Sweden",1,2
"2021-51","Sweden",0,2
"2021-52","Sweden",0,2
"2022-01","Sweden",1,3
"2022-02","Sweden",0,3
"2022-03","Sweden",0,3
"2022-04","Sweden",0,3
"2022-05","Sweden",1,4
"2022-06","Sweden",0,4
"2022-07","Sweden",0,4
"2022-08","Sweden",0,4
"2022-09","Sweden",0,4
"2022-10","Sweden",0,4
"2022-11","Sweden",0,4
"2022-12","Sweden",0,4
"2022-13","Sweden",1,5
"2022-14","Sweden",0,5
"2022-15","Sweden",1,6
"2022-16","Sweden",0,6
"2022-17","Sweden",2,8
"2022-18","Sweden",0,8
"2022-19","Sweden",0,8
"2022-20","Sweden",1,9
"2022-21","Sweden",1,10
"2022-22","Sweden",0,10
"2022-23","Sweden",0,10
"2022-24","Sweden",1,11
"2022-25","Sweden",0,11
"2021-39","United Kingdom",0,0
"2021-40","United Kingdom",0,0
"2021-41","United Kingdom",0,0
"2021-42","United Kingdom",0,0
"2021-43","United Kingdom",0,0
"2021-44","United Kingdom",0,0
"2021-45","United Kingdom",0,0
"2021-46","United Kingdom",0,0
"2021-47","United Kingdom",0,0
"2021-48","United Kingdom",0,0
"2021-49","United Kingdom",1,1
"2021-50","United Kingdom",1,2
"2021-51","United Kingdom",0,2
"2021-52","United Kingdom",1,3
"2022-01","United Kingdom",6,9
"2022-02","United Kingdom",5,14
"2022-03","United Kingdom",7,21
"2022-04","United Kingdom",8,29
"2022-05","United Kingdom",5,34
"2022-06","United Kingdom",6,40
"2022-07","United Kingdom",6,46
"2022-08","United Kingdom",5,51
"2022-09","United Kingdom",14,65
"2022-10","United Kingdom",5,70
"2022-11","United Kingdom",8,78
"2022-12","United Kingdom",28,106
"2022-13","United Kingdom",23,129
"2022-14","United Kingdom",20,149
"2022-15","United Kingdom",17,166
"2022-16","United Kingdom",18,184
"2022-17","United Kingdom",23,207
"2022-18","United Kingdom",18,225
"2022-19","United Kingdom",13,238
"2022-20","United Kingdom",12,250
"2022-21","United Kingdom",7,257
"2022-22","United Kingdom",3,260
"2022-23","United Kingdom",3,263
"2022-24","United Kingdom",4,267
"2022-25","United Kingdom",1,268
