"data_bulletin","week","country","cases","cumulative"
2022-07-01,"2022-01","Belgium",0,3
2022-07-01,"2022-02","Belgium",2,5
2022-07-01,"2022-03","Belgium",0,5
2022-07-01,"2022-04","Belgium",1,6
2022-07-01,"2022-05","Belgium",0,6
2022-07-01,"2022-06","Belgium",0,6
2022-07-01,"2022-07","Belgium",1,7
2022-07-01,"2022-08","Belgium",0,7
2022-07-01,"2022-09","Belgium",2,9
2022-07-01,"2022-10","Belgium",1,10
2022-07-01,"2022-11","Belgium",0,10
2022-07-01,"2022-12","Belgium",0,10
2022-07-01,"2022-13","Belgium",1,11
2022-07-01,"2022-14","Belgium",0,11
2022-07-01,"2022-15","Belgium",0,11
2022-07-01,"2022-16","Belgium",1,12
2022-07-01,"2022-17","Belgium",1,13
2022-07-01,"2022-18","Belgium",1,14
2022-07-01,"2022-19","Belgium",0,14
2022-07-01,"2022-20","Belgium",0,14
2022-07-01,"2022-21","Belgium",0,14
2022-07-01,"2022-22","Belgium",0,14
2022-07-01,"2022-23","Belgium",0,14
2022-07-01,"2022-24","Belgium",0,14
2022-07-01,"2022-25","Belgium",0,14
2022-06-17,"2021-39","Bulgaria",0,0
2022-06-17,"2021-40","Bulgaria",0,0
2022-06-17,"2021-41","Bulgaria",0,0
2022-06-17,"2021-42","Bulgaria",0,0
2022-06-17,"2021-43","Bulgaria",0,0
2022-06-17,"2021-44","Bulgaria",0,0
2022-06-17,"2021-45","Bulgaria",0,0
2022-06-17,"2021-46","Bulgaria",0,0
2022-06-17,"2021-47","Bulgaria",0,0
2022-06-17,"2021-48","Bulgaria",0,0
2022-06-17,"2021-49","Bulgaria",0,0
2022-06-17,"2021-50","Bulgaria",0,0
2022-06-17,"2021-51","Bulgaria",0,0
2022-06-17,"2021-52","Bulgaria",0,0
2022-06-17,"2022-01","Bulgaria",0,0
2022-06-17,"2022-02","Bulgaria",0,0
2022-06-17,"2022-03","Bulgaria",0,0
2022-06-17,"2022-04","Bulgaria",0,0
2022-06-17,"2022-05","Bulgaria",0,0
2022-06-17,"2022-06","Bulgaria",0,0
2022-06-17,"2022-07","Bulgaria",0,0
2022-06-17,"2022-08","Bulgaria",0,0
2022-06-17,"2022-09","Bulgaria",1,1
2022-06-17,"2022-10","Bulgaria",0,1
2022-06-17,"2022-11","Bulgaria",0,1
2022-06-17,"2022-12","Bulgaria",0,1
2022-06-17,"2022-13","Bulgaria",0,1
2022-06-17,"2022-14","Bulgaria",0,1
2022-06-17,"2022-15","Bulgaria",0,1
2022-06-17,"2022-16","Bulgaria",0,1
2022-06-17,"2022-17","Bulgaria",0,1
2022-06-17,"2022-18","Bulgaria",0,1
2022-06-17,"2022-19","Bulgaria",0,1
2022-06-17,"2022-20","Bulgaria",0,1
2022-06-17,"2022-21","Bulgaria",0,1
2022-06-17,"2022-22","Bulgaria",0,1
2022-06-17,"2022-23","Bulgaria",0,1
2022-06-17,"2022-24","Bulgaria",0,1
2022-07-01,"2021-39","Bulgaria",0,0
2022-07-01,"2021-40","Bulgaria",0,0
2022-07-01,"2021-41","Bulgaria",0,0
2022-07-01,"2021-42","Bulgaria",0,0
2022-07-01,"2021-43","Bulgaria",0,0
2022-07-01,"2021-44","Bulgaria",0,0
2022-07-01,"2021-45","Bulgaria",0,0
2022-07-01,"2021-46","Bulgaria",0,0
2022-07-01,"2021-47","Bulgaria",0,0
2022-07-01,"2021-48","Bulgaria",0,0
2022-07-01,"2021-49","Bulgaria",0,0
2022-07-01,"2021-50","Bulgaria",0,0
2022-07-01,"2021-51","Bulgaria",0,0
2022-07-01,"2021-52","Bulgaria",0,0
2022-07-01,"2022-01","Bulgaria",0,0
2022-07-01,"2022-02","Bulgaria",0,0
2022-07-01,"2022-03","Bulgaria",0,0
2022-07-01,"2022-04","Bulgaria",0,0
2022-07-01,"2022-05","Bulgaria",0,0
2022-07-01,"2022-06","Bulgaria",0,0
2022-07-01,"2022-07","Bulgaria",0,0
2022-07-01,"2022-08","Bulgaria",0,0
2022-07-01,"2022-09","Bulgaria",1,1
2022-07-01,"2022-10","Bulgaria",0,1
2022-07-01,"2022-11","Bulgaria",0,1
2022-07-01,"2022-12","Bulgaria",0,1
2022-07-01,"2022-13","Bulgaria",0,1
2022-07-01,"2022-14","Bulgaria",0,1
2022-07-01,"2022-15","Bulgaria",0,1
2022-07-01,"2022-16","Bulgaria",0,1
2022-07-01,"2022-17","Bulgaria",0,1
2022-07-01,"2022-18","Bulgaria",0,1
2022-07-01,"2022-19","Bulgaria",0,1
2022-07-01,"2022-20","Bulgaria",0,1
2022-07-01,"2022-21","Bulgaria",0,1
2022-07-01,"2022-22","Bulgaria",0,1
2022-07-01,"2022-23","Bulgaria",0,1
2022-07-01,"2022-24","Bulgaria",0,1
2022-07-01,"2022-25","Bulgaria",0,1
2022-06-17,"2021-39","Cyprus",0,0
2022-06-17,"2021-40","Cyprus",0,0
2022-06-17,"2021-41","Cyprus",0,0
2022-06-17,"2021-42","Cyprus",0,0
2022-06-17,"2021-43","Cyprus",0,0
2022-06-17,"2021-44","Cyprus",0,0
2022-06-17,"2021-45","Cyprus",1,1
2022-06-17,"2021-46","Cyprus",0,1
2022-06-17,"2021-47","Cyprus",0,1
2022-06-17,"2021-48","Cyprus",0,1
