"week","WHO_region","cases"
"2022-20","Western Pacific",0
"2022-21","Western Pacific",0
"2022-22","Western Pacific",0
"2022-23","Western Pacific",0
"2022-24","Western Pacific",0
"2021-39","Eastern Mediterranean",0
"2021-40","Eastern Mediterranean",0
"2021-41","Eastern Mediterranean",0
"2021-42","Eastern Mediterranean",0
"2021-43","Eastern Mediterranean",0
"2021-44","Eastern Mediterranean",0
"2021-45","Eastern Mediterranean",0
"2021-46","Eastern Mediterranean",0
"2021-47","Eastern Mediterranean",0
"2021-48","Eastern Mediterranean",0
"2021-49","Eastern Mediterranean",0
"2021-50","Eastern Mediterranean",0
"2021-51","Eastern Mediterranean",0
"2021-52","Eastern Mediterranean",0
"2022-01","Eastern Mediterranean",0
"2022-02","Eastern Mediterranean",0
"2022-03","Eastern Mediterranean",0
"2022-04","Eastern Mediterranean",0
"2022-05","Eastern Mediterranean",0
"2022-06","Eastern Mediterranean",0
"2022-07","Eastern Mediterranean",0
"2022-08","Eastern Mediterranean",0
"2022-09","Eastern Mediterranean",0
"2022-10","Eastern Mediterranean",0
"2022-11","Eastern Mediterranean",0
"2022-12","Eastern Mediterranean",0
"2022-13","Eastern Mediterranean",0
"2022-14","Eastern Mediterranean",0
"2022-15","Eastern Mediterranean",0
"2022-16","Eastern Mediterranean",2
"2022-17","Eastern Mediterranean",0
"2022-18","Eastern Mediterranean",0
"2022-19","Eastern Mediterranean",0
"2022-20","Eastern Mediterranean",0
"2022-21","Eastern Mediterranean",0
"2022-22","Eastern Mediterranean",0
"2022-23","Eastern Mediterranean",0
"2022-24","Eastern Mediterranean",0
