"week","cases","cumulative"
"2021-39",1,1
"2021-40",0,1
"2021-41",0,1
"2021-42",1,2
"2021-43",1,3
"2021-44",1,4
"2021-45",1,5
"2021-46",0,5
"2021-47",0,5
"2021-48",4,9
"2021-49",1,10
"2021-50",2,12
"2021-51",1,13
"2021-52",4,17
"2022-01",8,25
"2022-02",8,33
"2022-03",8,41
"2022-04",10,51
"2022-05",10,61
"2022-06",8,69
"2022-07",12,81
"2022-08",8,89
"2022-09",19,108
"2022-10",18,126
"2022-11",17,143
"2022-12",38,181
"2022-13",33,214
"2022-14",29,243
"2022-15",33,276
"2022-16",36,312
"2022-17",40,352
"2022-18",31,383
"2022-19",22,405
"2022-20",24,429
"2022-21",16,445
"2022-22",6,451
"2022-23",9,460
"2022-24",8,468
"2022-25",2,470
