"week","cases","cumulative"
"2021-39",1,1
"2021-40",NA,1
"2021-41",NA,1
"2021-42",1,2
"2021-43",1,3
"2021-44",1,4
"2021-45",1,5
"2021-46",NA,5
"2021-47",NA,5
"2021-48",4,9
"2021-49",NA,9
"2021-50",2,11
"2021-51",1,12
"2021-52",3,15
"2022-01",8,23
"2022-02",9,32
"2022-03",9,41
"2022-04",11,52
"2022-05",10,62
"2022-06",8,70
"2022-07",12,82
"2022-08",8,90
"2022-09",19,109
"2022-10",17,126
"2022-11",19,145
"2022-12",38,183
"2022-13",33,216
"2022-14",27,243
"2022-15",31,274
"2022-16",36,310
"2022-17",39,349
"2022-18",32,381
"2022-19",21,402
"2022-20",23,425
"2022-21",13,438
"2022-22",4,442
"2022-23",1,443
"2022-24",3,446
